stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.13590] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13592] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13594] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13596] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13598] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13600] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13602] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13604] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13606] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13608] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13615] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13623] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13625] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13627] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13629] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13631] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13633] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13635] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13637] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13639] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13642] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13644] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13646] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13648] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13650] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13652] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13654] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13655] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13658] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13660] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13662] Single Buffer requirement not met.
