stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.17910] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17918] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.17926] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17935] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.17943] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17955] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.17963] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17972] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.17980] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17990] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17997] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18005] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18013] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18021] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18042] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18050] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18057] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18068] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18077] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18085] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18092] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18100] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18108] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18116] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18129] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18138] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18147] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18157] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18166] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18176] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18185] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18193] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18200] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18210] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18219] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18230] Single Buffer requirement not met.
